title	author	date	link	emotion	value
Histories 8	Chris Abani	2016-03-20	http://poetry.lib.uidaho.edu/index.php/poems/histories-8/	disgust	0.1138
Histories 8	Chris Abani	2016-03-20	http://poetry.lib.uidaho.edu/index.php/poems/histories-8/	fear	0.6425
Histories 8	Chris Abani	2016-03-20	http://poetry.lib.uidaho.edu/index.php/poems/histories-8/	joy	0.2984
Histories 8	Chris Abani	2016-03-20	http://poetry.lib.uidaho.edu/index.php/poems/histories-8/	sadness	0.569
Pilgrimage 8	Chris Abani	2016-01-08	http://poetry.lib.uidaho.edu/index.php/poems/pilgrimage-8/	anger	0.0598
Pilgrimage 8	Chris Abani	2016-01-08	http://poetry.lib.uidaho.edu/index.php/poems/pilgrimage-8/	disgust	0.7896
Pilgrimage 8	Chris Abani	2016-01-08	http://poetry.lib.uidaho.edu/index.php/poems/pilgrimage-8/	fear	0.107
Pilgrimage 8	Chris Abani	2016-01-08	http://poetry.lib.uidaho.edu/index.php/poems/pilgrimage-8/	joy	0.001
Pilgrimage 8	Chris Abani	2016-01-08	http://poetry.lib.uidaho.edu/index.php/poems/pilgrimage-8/	sadness	0.1155
Revenant 3	Chris Abani	2016-02-05	http://poetry.lib.uidaho.edu/index.php/poems/revenant-3/	anger	0.1147
Revenant 3	Chris Abani	2016-02-05	http://poetry.lib.uidaho.edu/index.php/poems/revenant-3/	disgust	0.168
Revenant 3	Chris Abani	2016-02-05	http://poetry.lib.uidaho.edu/index.php/poems/revenant-3/	fear	0.0768
Revenant 3	Chris Abani	2016-02-05	http://poetry.lib.uidaho.edu/index.php/poems/revenant-3/	joy	0.1731
Revenant 3	Chris Abani	2016-02-05	http://poetry.lib.uidaho.edu/index.php/poems/revenant-3/	sadness	0.5193
Sacrament 1	Chris Abani	2016-03-07	http://poetry.lib.uidaho.edu/index.php/poems/sacrament-1/	anger	0.0827
Sacrament 1	Chris Abani	2016-03-07	http://poetry.lib.uidaho.edu/index.php/poems/sacrament-1/	disgust	0.1195
Sacrament 1	Chris Abani	2016-03-07	http://poetry.lib.uidaho.edu/index.php/poems/sacrament-1/	fear	0.6188
Sacrament 1	Chris Abani	2016-03-07	http://poetry.lib.uidaho.edu/index.php/poems/sacrament-1/	joy	0.2785
Sacrament 1	Chris Abani	2016-03-07	http://poetry.lib.uidaho.edu/index.php/poems/sacrament-1/	sadness	0.548
Sorry, T.	Brenda Shaughnessy	2016-01-26	http://poetry.lib.uidaho.edu/index.php/poems/sorry-t/	anger	0.18
Sorry, T.	Brenda Shaughnessy	2016-01-26	http://poetry.lib.uidaho.edu/index.php/poems/sorry-t/	disgust	0.1095
Sorry, T.	Brenda Shaughnessy	2016-01-26	http://poetry.lib.uidaho.edu/index.php/poems/sorry-t/	fear	0.486
Sorry, T.	Brenda Shaughnessy	2016-01-26	http://poetry.lib.uidaho.edu/index.php/poems/sorry-t/	joy	0.1853
Sorry, T.	Brenda Shaughnessy	2016-01-26	http://poetry.lib.uidaho.edu/index.php/poems/sorry-t/	sadness	0.5492
You Too, Not Just Me	Brenda Shaughnessy	2016-02-11	http://poetry.lib.uidaho.edu/index.php/poems/you-too-not-just-me/	anger	0.1079
You Too, Not Just Me	Brenda Shaughnessy	2016-02-11	http://poetry.lib.uidaho.edu/index.php/poems/you-too-not-just-me/	disgust	0.0988
You Too, Not Just Me	Brenda Shaughnessy	2016-02-11	http://poetry.lib.uidaho.edu/index.php/poems/you-too-not-just-me/	fear	0.5738
You Too, Not Just Me	Brenda Shaughnessy	2016-02-11	http://poetry.lib.uidaho.edu/index.php/poems/you-too-not-just-me/	joy	0.3148
You Too, Not Just Me	Brenda Shaughnessy	2016-02-11	http://poetry.lib.uidaho.edu/index.php/poems/you-too-not-just-me/	sadness	0.5054
Parallel	Brenda Shaughnessy	2016-02-26	http://poetry.lib.uidaho.edu/index.php/poems/parallel/	anger	0.0298
Parallel	Brenda Shaughnessy	2016-02-26	http://poetry.lib.uidaho.edu/index.php/poems/parallel/	disgust	0.0284
Parallel	Brenda Shaughnessy	2016-02-26	http://poetry.lib.uidaho.edu/index.php/poems/parallel/	fear	0.3031
Parallel	Brenda Shaughnessy	2016-02-26	http://poetry.lib.uidaho.edu/index.php/poems/parallel/	joy	0.0034
Parallel	Brenda Shaughnessy	2016-02-26	http://poetry.lib.uidaho.edu/index.php/poems/parallel/	sadness	0.7338
Inappropriate Dreams	Brenda Shaughnessy	2015-12-03	http://poetry.lib.uidaho.edu/index.php/poems/inappropriate-dreams/	anger	0.1332
Inappropriate Dreams	Brenda Shaughnessy	2015-12-03	http://poetry.lib.uidaho.edu/index.php/poems/inappropriate-dreams/	disgust	0.1756
Inappropriate Dreams	Brenda Shaughnessy	2015-12-03	http://poetry.lib.uidaho.edu/index.php/poems/inappropriate-dreams/	fear	0.1556
Inappropriate Dreams	Brenda Shaughnessy	2015-12-03	http://poetry.lib.uidaho.edu/index.php/poems/inappropriate-dreams/	joy	0.2511
Inappropriate Dreams	Brenda Shaughnessy	2015-12-03	http://poetry.lib.uidaho.edu/index.php/poems/inappropriate-dreams/	sadness	0.5883
Headlong	Brenda Shaughnessy	2016-02-06	http://poetry.lib.uidaho.edu/index.php/poems/headlong/	anger	0.1143
Headlong	Brenda Shaughnessy	2016-02-06	http://poetry.lib.uidaho.edu/index.php/poems/headlong/	disgust	0.1009
Headlong	Brenda Shaughnessy	2016-02-06	http://poetry.lib.uidaho.edu/index.php/poems/headlong/	fear	0.4747
Headlong	Brenda Shaughnessy	2016-02-06	http://poetry.lib.uidaho.edu/index.php/poems/headlong/	joy	0.138
Headlong	Brenda Shaughnessy	2016-02-06	http://poetry.lib.uidaho.edu/index.php/poems/headlong/	sadness	0.236
Card 6 The Lovers	Brenda Shaughnessy	2016-03-04	http://poetry.lib.uidaho.edu/index.php/poems/card-6-the-lovers/	anger	0.1229
Card 6 The Lovers	Brenda Shaughnessy	2016-03-04	http://poetry.lib.uidaho.edu/index.php/poems/card-6-the-lovers/	disgust	0.3477
Card 6 The Lovers	Brenda Shaughnessy	2016-03-04	http://poetry.lib.uidaho.edu/index.php/poems/card-6-the-lovers/	fear	0.0525
Card 6 The Lovers	Brenda Shaughnessy	2016-03-04	http://poetry.lib.uidaho.edu/index.php/poems/card-6-the-lovers/	joy	0.0733
Card 6 The Lovers	Brenda Shaughnessy	2016-03-04	http://poetry.lib.uidaho.edu/index.php/poems/card-6-the-lovers/	sadness	0.4568
Artless	Brenda Shaughnessy	2016-04-13	http://poetry.lib.uidaho.edu/index.php/poems/artless/	anger	0.0913
Artless	Brenda Shaughnessy	2016-04-13	http://poetry.lib.uidaho.edu/index.php/poems/artless/	disgust	0.1216
Artless	Brenda Shaughnessy	2016-04-13	http://poetry.lib.uidaho.edu/index.php/poems/artless/	fear	0.4569
Artless	Brenda Shaughnessy	2016-04-13	http://poetry.lib.uidaho.edu/index.php/poems/artless/	joy	0.3216
Artless	Brenda Shaughnessy	2016-04-13	http://poetry.lib.uidaho.edu/index.php/poems/artless/	sadness	0.3401
All Possible Pain	Brenda Shaughnessy	2016-02-24	http://poetry.lib.uidaho.edu/index.php/poems/all-possible-pain/	anger	0.4927
All Possible Pain	Brenda Shaughnessy	2016-02-24	http://poetry.lib.uidaho.edu/index.php/poems/all-possible-pain/	disgust	0.1087
All Possible Pain	Brenda Shaughnessy	2016-02-24	http://poetry.lib.uidaho.edu/index.php/poems/all-possible-pain/	fear	0.1657
All Possible Pain	Brenda Shaughnessy	2016-02-24	http://poetry.lib.uidaho.edu/index.php/poems/all-possible-pain/	joy	0.1253
All Possible Pain	Brenda Shaughnessy	2016-02-24	http://poetry.lib.uidaho.edu/index.php/poems/all-possible-pain/	sadness	0.5796
A Series of Actions	C.D. Wright	2016-01-18	http://poetry.lib.uidaho.edu/index.php/poems/a-series-of-actions/	anger	0.1279
A Series of Actions	C.D. Wright	2016-01-18	http://poetry.lib.uidaho.edu/index.php/poems/a-series-of-actions/	disgust	0.5265
A Series of Actions	C.D. Wright	2016-01-18	http://poetry.lib.uidaho.edu/index.php/poems/a-series-of-actions/	fear	0.1301
A Series of Actions	C.D. Wright	2016-01-18	http://poetry.lib.uidaho.edu/index.php/poems/a-series-of-actions/	joy	0.1882
A Series of Actions	C.D. Wright	2016-01-18	http://poetry.lib.uidaho.edu/index.php/poems/a-series-of-actions/	sadness	0.1226
Clockmaker with Bad Eyes	C.D. Wright	2016-03-13	http://poetry.lib.uidaho.edu/index.php/poems/clockmaker-with-bad-eyes/	anger	0.0679
Clockmaker with Bad Eyes	C.D. Wright	2016-03-13	http://poetry.lib.uidaho.edu/index.php/poems/clockmaker-with-bad-eyes/	disgust	0.4609
Clockmaker with Bad Eyes	C.D. Wright	2016-03-13	http://poetry.lib.uidaho.edu/index.php/poems/clockmaker-with-bad-eyes/	fear	0.1452
Clockmaker with Bad Eyes	C.D. Wright	2016-03-13	http://poetry.lib.uidaho.edu/index.php/poems/clockmaker-with-bad-eyes/	joy	0.6317
Clockmaker with Bad Eyes	C.D. Wright	2016-03-13	http://poetry.lib.uidaho.edu/index.php/poems/clockmaker-with-bad-eyes/	sadness	0.2168
Re Happiness, in pursuit thereof	C.D. Wright	2016-02-16	http://poetry.lib.uidaho.edu/index.php/poems/re-happiness-in-pursuit-thereof/	anger	0.154
Re Happiness, in pursuit thereof	C.D. Wright	2016-02-16	http://poetry.lib.uidaho.edu/index.php/poems/re-happiness-in-pursuit-thereof/	disgust	0.1366
Re Happiness, in pursuit thereof	C.D. Wright	2016-02-16	http://poetry.lib.uidaho.edu/index.php/poems/re-happiness-in-pursuit-thereof/	fear	0.5263
Re Happiness, in pursuit thereof	C.D. Wright	2016-02-16	http://poetry.lib.uidaho.edu/index.php/poems/re-happiness-in-pursuit-thereof/	joy	0.2486
Re Happiness, in pursuit thereof	C.D. Wright	2016-02-16	http://poetry.lib.uidaho.edu/index.php/poems/re-happiness-in-pursuit-thereof/	sadness	0.2225
Deepstep Come Shining (excerpt)	C.D. Wright	2016-03-26	http://poetry.lib.uidaho.edu/index.php/poems/deepstep-come-shining-excerpt-2/	anger	0.0843
Deepstep Come Shining (excerpt)	C.D. Wright	2016-03-26	http://poetry.lib.uidaho.edu/index.php/poems/deepstep-come-shining-excerpt-2/	disgust	0.1288
Deepstep Come Shining (excerpt)	C.D. Wright	2016-03-26	http://poetry.lib.uidaho.edu/index.php/poems/deepstep-come-shining-excerpt-2/	fear	0.4716
Deepstep Come Shining (excerpt)	C.D. Wright	2016-03-26	http://poetry.lib.uidaho.edu/index.php/poems/deepstep-come-shining-excerpt-2/	joy	0.5252
Deepstep Come Shining (excerpt)	C.D. Wright	2016-03-26	http://poetry.lib.uidaho.edu/index.php/poems/deepstep-come-shining-excerpt-2/	sadness	0.247
Gift of the Book	C.D. Wright	2016-02-04	http://poetry.lib.uidaho.edu/index.php/poems/gift-of-the-book/	anger	0.1081
Gift of the Book	C.D. Wright	2016-02-04	http://poetry.lib.uidaho.edu/index.php/poems/gift-of-the-book/	disgust	0.0347
Gift of the Book	C.D. Wright	2016-02-04	http://poetry.lib.uidaho.edu/index.php/poems/gift-of-the-book/	fear	0.3112
Gift of the Book	C.D. Wright	2016-02-04	http://poetry.lib.uidaho.edu/index.php/poems/gift-of-the-book/	joy	0.3077
Gift of the Book	C.D. Wright	2016-02-04	http://poetry.lib.uidaho.edu/index.php/poems/gift-of-the-book/	sadness	0.3195
Girl Friend	C.D. Wright	2016-01-31	http://poetry.lib.uidaho.edu/index.php/poems/girl-friend/	anger	0.1045
Girl Friend	C.D. Wright	2016-01-31	http://poetry.lib.uidaho.edu/index.php/poems/girl-friend/	disgust	0.5574
Girl Friend	C.D. Wright	2016-01-31	http://poetry.lib.uidaho.edu/index.php/poems/girl-friend/	fear	0.5299
Girl Friend	C.D. Wright	2016-01-31	http://poetry.lib.uidaho.edu/index.php/poems/girl-friend/	joy	0.5574
Girl Friend	C.D. Wright	2016-01-31	http://poetry.lib.uidaho.edu/index.php/poems/girl-friend/	sadness	0.2297
Hotels	C.D. Wright	2016-05-04	http://poetry.lib.uidaho.edu/index.php/poems/hotels/	anger	0.0656
Hotels	C.D. Wright	2016-05-04	http://poetry.lib.uidaho.edu/index.php/poems/hotels/	disgust	0.3931
Hotels	C.D. Wright	2016-05-04	http://poetry.lib.uidaho.edu/index.php/poems/hotels/	fear	0.318
Hotels	C.D. Wright	2016-05-04	http://poetry.lib.uidaho.edu/index.php/poems/hotels/	joy	0.1213
