title	author	date	link	emotion	value
The Angels of Film	A. Poulin Jr.	2017-05-02	http://poetry.lib.uidaho.edu/?p=1053	anger	0.1057
The Angels of Film	A. Poulin Jr.	2017-05-02	http://poetry.lib.uidaho.edu/?p=1053	disgust	0.1317
The Angels of Film	A. Poulin Jr.	2017-05-02	http://poetry.lib.uidaho.edu/?p=1053	fear	0.188
The Angels of Film	A. Poulin Jr.	2017-05-02	http://poetry.lib.uidaho.edu/?p=1053	joy	0.2743
The Angels of Film	A. Poulin Jr.	2017-05-02	http://poetry.lib.uidaho.edu/?p=1053	sadness	0.5241
A Childhood	Kim Addonizio	2017-04-11	http://poetry.lib.uidaho.edu/?p=1063	anger	0.5313
A Childhood	Kim Addonizio	2017-04-11	http://poetry.lib.uidaho.edu/?p=1063	disgust	0.1033
A Childhood	Kim Addonizio	2017-04-11	http://poetry.lib.uidaho.edu/?p=1063	fear	0.1491
A Childhood	Kim Addonizio	2017-04-11	http://poetry.lib.uidaho.edu/?p=1063	joy	0.5182
A Childhood	Kim Addonizio	2017-04-11	http://poetry.lib.uidaho.edu/?p=1063	sadness	0.2541
The Chiming of the Hour	Dan Albergotti	2017-01-17	http://poetry.lib.uidaho.edu/index.php/dan-albergotti/the-chiming-of-the-hour/	anger	0.1003
The Chiming of the Hour	Dan Albergotti	2017-01-17	http://poetry.lib.uidaho.edu/index.php/dan-albergotti/the-chiming-of-the-hour/	disgust	0.1728
The Chiming of the Hour	Dan Albergotti	2017-01-17	http://poetry.lib.uidaho.edu/index.php/dan-albergotti/the-chiming-of-the-hour/	fear	0.474
The Chiming of the Hour	Dan Albergotti	2017-01-17	http://poetry.lib.uidaho.edu/index.php/dan-albergotti/the-chiming-of-the-hour/	joy	0.2263
The Chiming of the Hour	Dan Albergotti	2017-01-17	http://poetry.lib.uidaho.edu/index.php/dan-albergotti/the-chiming-of-the-hour/	sadness	0.5013
God and the G-Spot	Ellen Bass	2017-01-05	http://poetry.lib.uidaho.edu/index.php/ellen-bass/god-and-the-g-spot/	anger	0.1502
God and the G-Spot	Ellen Bass	2017-01-05	http://poetry.lib.uidaho.edu/index.php/ellen-bass/god-and-the-g-spot/	disgust	0.415
God and the G-Spot	Ellen Bass	2017-01-05	http://poetry.lib.uidaho.edu/index.php/ellen-bass/god-and-the-g-spot/	fear	0.3965
God and the G-Spot	Ellen Bass	2017-01-05	http://poetry.lib.uidaho.edu/index.php/ellen-bass/god-and-the-g-spot/	joy	0.2709
God and the G-Spot	Ellen Bass	2017-01-05	http://poetry.lib.uidaho.edu/index.php/ellen-bass/god-and-the-g-spot/	sadness	0.5477
Worry	Ellen Bass	2017-01-30	http://poetry.lib.uidaho.edu/index.php/ellen-bass/worry/	anger	0.0874
Worry	Ellen Bass	2017-01-30	http://poetry.lib.uidaho.edu/index.php/ellen-bass/worry/	disgust	0.168
Worry	Ellen Bass	2017-01-30	http://poetry.lib.uidaho.edu/index.php/ellen-bass/worry/	fear	0.4592
Worry	Ellen Bass	2017-01-30	http://poetry.lib.uidaho.edu/index.php/ellen-bass/worry/	joy	0.1758
Worry	Ellen Bass	2017-01-30	http://poetry.lib.uidaho.edu/index.php/ellen-bass/worry/	sadness	0.5058
