title,author,date,link,sentiment_label,sentiment_score,emotion_anger,emotion_disgust,emotion_fear,emotion_joy,emotion_sadness,keywords
Pilgrimage 8,Chris Abani,"Jan 8, 2016",http://poetry.lib.uidaho.edu/index.php/poems/pilgrimage-8/,negative,-0.462995,0.059844,0.789629,0.106951,0.001,0.115453,red eyes; pink skin; shame; utensils; breath; sister; plate; Emeka
Revenant 3,Chris Abani,"Feb 5, 2016",http://poetry.lib.uidaho.edu/index.php/poems/revenant-3/,negative,-0.624433,0.114692,0.168043,0.076834,0.173,0.519299,Chicago Tribune obituary; acerbic letters; King Oedipus; Red Square; lieu; barman; Republicans; Lenin; fungi
Sacrament 1,Chris Abani,"Mar 7, 2016",http://poetry.lib.uidaho.edu/index.php/poems/sacrament-1/,negative,-0.117044,0.082661,0.119485,0.618808,0.279,0.54802,red dye bubbles; unbearable trepidation; pilgrim wades; sheer terror; final arbitration; unspeakable angels; Kpom kwem; fearsome beauty; sacred lake; endless line; God; priests; oracle; Chukwu; Igbo; petitioner; trees; gloom; shivers; awe; vultures; Rilke; lips; divinity; mist; breath; rocks; word; believers; voice; heat; shore; supplicants; Deep; grove; haunches
"Sorry, T.",Brenda Shaughnessy,"Jan 26, 2016",http://poetry.lib.uidaho.edu/index.php/poems/sorry-t/,negative,-0.23707,0.180004,0.109541,0.48603,0.185,0.549203,wintry incubus; shifty pavement; primal fool-seasons; cold floor; domestic animal; ghost; moment; bruise; potion; throttle; greet; Brenda; knees; boot; hip; sweat; person; lip; sense; bed.; things; flukeprint; sun; ground
"You Too, Not Just Me",Brenda Shaughnessy,"Feb 11, 2016",http://poetry.lib.uidaho.edu/index.php/poems/you-too-not-just-me/,negative,-0.048749,0.107895,0.098819,0.573759,0.315,0.505409,Can’t matter; previous whiskey; soft walking; new form; home; vanishes; centaur; ledge; smoke; breath; fraud; circles; shape; fair; face; wisps; drowns; dream
Parallel,Brenda Shaughnessy,"Feb 26, 2016",http://poetry.lib.uidaho.edu/index.php/poems/parallel/,negative,-0.377987,0.029792,0.028357,0.303096,0.003,0.733841,dark cracks; white boards
Inappropriate Dreams,Brenda Shaughnessy,"Dec 3, 2015",http://poetry.lib.uidaho.edu/index.php/poems/inappropriate-dreams/,negative,-0.211805,0.133172,0.175564,0.155641,0.251,0.588319,grocery store; file folders; lettuce; time; blueberry; pebble; plum; night; food; hill; bear
Headlong,Brenda Shaughnessy,"Feb 6, 2016",http://poetry.lib.uidaho.edu/index.php/poems/headlong/,positive,0.0767362,0.114302,0.100851,0.474723,0.138,0.236009,wet eyelashes; hooked lip; headlong wall; brown pain; salt water; cresting; foreshadow; tiptoe; curl; fringe; grief; sip; blink; feet; shadow; love; place; ocean
Card 6 The Lovers,Brenda Shaughnessy,"Mar 4, 2016",http://poetry.lib.uidaho.edu/index.php/poems/card-6-the-lovers/,negative,-0.0285257,0.12292,0.347721,0.052487,0.073,0.456771,mirror; wholeness; lover; mouth
Artless,Brenda Shaughnessy,"Apr 13, 2016",http://poetry.lib.uidaho.edu/index.php/poems/artless/,negative,-0.037672,0.09134,0.121624,0.456916,0.322,0.34013,old smokehouse; special recipe; hopeful haunting; loud hub; meat stub; heart; way; sunroom; rind; stranger; berry; eve; hands; marvel; Spectacular; substance; sun; moonroof; poetry; darkness; life; harvest; fighting; end; excruciation; question; art; everydayness
All Possible Pain,Brenda Shaughnessy,"Feb 24, 2016",http://poetry.lib.uidaho.edu/index.php/poems/all-possible-pain/,negative,-0.251159,0.492696,0.108712,0.165716,0.125,0.579561,made-up things; throb lingering; exit wounds; leather toe; green bottle; ninety-eight degrees; sky’s roof; feelings; parking; shade; life; cop; sliver; pot; firing; prisoner; tongue; boot; assortment; proof; grief; authority; ones; entries; relationship; god; car; way; pain; truth
A Series of Actions,C.D. Wright,"Jan 18, 2016",http://poetry.lib.uidaho.edu/index.php/poems/a-series-of-actions/,negative,-0.00521829,0.127877,0.526502,0.130051,0.188,0.122555,door opening; left hand; accedes; nbsp; eyelashes; shoelaces; Arms; movements; handle; feet; string; face; gift; blood; skin; way; Cold; floor; scene; eye; palm; Light
Clockmaker with Bad Eyes,C.D. Wright,"Mar 13, 2016",http://poetry.lib.uidaho.edu/index.php/poems/clockmaker-with-bad-eyes/,negative,-0.11647,0.067872,0.460883,0.145244,0.632,0.216827,dog-eared sheets; Cooking smoke; loco planet; travel book; woman’s blood; suns; walks; thing; time; eyes; weekend; waters; shop; wind; watches—; bed; night; life; body
"Re Happiness, in pursuit thereof",C.D. Wright,"Feb 16, 2016",http://poetry.lib.uidaho.edu/index.php/poems/re-happiness-in-pursuit-thereof/,negative,-0.139987,0.154014,0.136574,0.526255,0.249,0.222476,alcohol rub; bee balm; Aztec time; Ancient tailings; prepared observer; final cycle; landfall; mess; chamomile; Waterway; Bluff; labyrinth; graveyard; stardust; fog; sing; nails; teeth; breath; left; Eyes; lightning; spandex; corner; help; night; rock; trees; lake; earth
Deepstep Come Shining (excerpt),C.D. Wright,"Mar 26, 2016",http://poetry.lib.uidaho.edu/index.php/poems/deepstep-come-shining-excerpt-2/,negative,-0.00994352,0.084284,0.128818,0.471573,0.525,0.247011,deeply furrowed bark; concealed drawing; wholeness; trunks; trunk; palette; aim; Solids; kind; darkness; hand; color.; center; area; line
Gift of the Book,C.D. Wright,"Feb 4, 2016",http://poetry.lib.uidaho.edu/index.php/poems/gift-of-the-book/,negative,-0.135805,0.108112,0.034718,0.311223,0.308,0.31945,rhode island; lights; hunger; prose; bed; reading; body
Girl Friend,C.D. Wright,"Jan 31, 2016",http://poetry.lib.uidaho.edu/index.php/poems/girl-friend/,negative,-0.12278,0.104534,0.557403,0.529855,0.557,0.229704,photogenic spit; flammable skin; singer manqué; small host; good time; new stars; golden books; schnapps; longings; staircase; Errant; summers
Hotels,C.D. Wright,"May 4, 2016",http://poetry.lib.uidaho.edu/index.php/poems/hotels/,positive,0.123644,0.065559,0.393077,0.31799,0.121,0.12907,forested town; warm beer; love standing; blue tubes; snowfall; lamp; chair; dreams
This Couple,C.D. Wright,"Feb 17, 2016",http://poetry.lib.uidaho.edu/index.php/poems/this-couple/,negative,-0.221772,0.097489,0.442199,0.481543,0.512,0.436101,chain-link gates; wrought-iron compartment; dark beer; laughing friends; wonderful sex; elevator wall; Long drives; pay toilets; Mexican station; apple core; Movie lines; rain; ashtray; headlamps; ravine; lips; whereabouts; freeway; cliffs; stopping; leaflets; Jukeboxes; stranger; guestbooks; Cafes; mirrors; Quarters; dial; yard; faces; engine; rest; heads; Moments; work; hand; plan; highway; progress; Eyes; car; Things; childhood; prints; animal
Like Something in His Handwriting,C.D. Wright,"Apr 24, 2016",http://poetry.lib.uidaho.edu/index.php/poems/like-something-in-his-handwriting/,negative,-0.356145,0.11378,0.120093,0.122283,0.235,0.573267,nonlocal reality; nameless river; slow intensification; yellow leaf; lower corner; disappearance; optimism; drywall; walkers; paths; yards; rain; instant; spot; woods; park; morning; men; dogs; message; picture; photograph; end; summer
Another Strange Rose for the Afterlife,Dean Young,"Apr 8, 2016",http://poetry.lib.uidaho.edu/index.php/poems/another-strange-rose-for-the-afterlife/,negative,-0.333706,0.027657,0.111916,0.214274,0.011,0.735845,little spinning creature; smashed innards; Broken river; brown laurel; dry things; vice versa; wineglass; rushes; guesswork; hostages; ambiguity; clarifying; pivot; paw; rapture; twilight; shoulder; shadow; desire; sky; sleep; pain; way; people
Commencement Address,Dean Young,"May 6, 2016",http://poetry.lib.uidaho.edu/index.php/poems/commencement-address/,negative,-0.193175,0.192774,0.177248,0.119661,0.216,0.523302,brown bag lunch; spittoon overflows; lachrymal glands; peanut canister; big deal; outer space; toilet paper; sour room; good ones; best friend; dance floor; blue snow; swans; bureaucrat; dandelions; rages; necklace; receipts; napkins; fluff; phantoms; labyrinth; tongue; grief; mouth; confessions; mom; destruction; chaos; spring; point; angels; data; god; sheets; hope
